User_id,Day_name,Hour_of_Day,month_id,Watch_date,Month_Name,Day_classification,TV_Channel,Watch_Time,Duration,userid,Region,Age_Group,Race,Gender,email_flag,SM_Flag
903994,Mon,18,201601,2016-01-04,Jan,Weekday,Trace TV,18:09:00,00:02:00,903994,Western Cape,Young Adults,coloured,male,1,1
802352,Wed,9,201603,2016-03-30,Mar,Weekday,ICC Cricket World Cup 2011,09:04:00,00:10:06,802352,Uncategorized,Infants,None,Unknown,1,1
866125,Wed,17,201603,2016-03-30,Mar,Weekday,ICC Cricket World Cup 2011,17:01:00,00:00:42,866125,Gauteng,Young Adults,indian_asian,male,1,1
2384970,Fri,15,201603,2016-03-25,Mar,Weekday,ICC Cricket World Cup 2011,15:23:00,00:00:10,2384970,Kwazulu Natal,Adults,coloured,male,1,1
793571,Tue,17,201602,2016-02-02,Feb,Weekday,SawSee,17:18:00,00:01:33,793571,Eastern Cape,Children,white,female,1,1
793571,Fri,16,201603,2016-03-18,Mar,Weekday,Boomerang,16:56:00,00:00:10,793571,Eastern Cape,Children,white,female,1,1
793571,Sun,4,201603,2016-03-20,Mar,Weekend,Channel O,04:25:00,00:17:15,793571,Eastern Cape,Children,white,female,1,1
793571,Wed,6,201602,2016-02-03,Feb,Weekday,Boomerang,06:43:00,00:01:13,793571,Eastern Cape,Children,white,female,1,1
819248,Thu,10,201603,2016-03-31,Mar,Weekday,Channel O,10:01:00,00:04:45,819248,Uncategorized,Infants,None,Unknown,1,1
820321,Sat,8,201601,2016-01-09,Jan,Weekend,Cartoon Network,08:25:00,00:00:40,820321,Kwazulu Natal,Young Adults,indian_asian,male,1,1
892453,Thu,9,201603,2016-03-24,Mar,Weekday,Supersport Live Events,09:09:00,00:00:06,892453,Gauteng,Young Adults,indian_asian,male,1,1
892453,Sat,15,201603,2016-03-26,Mar,Weekend,ICC Cricket World Cup 2011,15:33:00,05:01:12,892453,Gauteng,Young Adults,indian_asian,male,1,1
822560,Sun,8,201602,2016-02-28,Feb,Weekend,Channel O,08:09:00,00:00:00,822560,Eastern Cape,Young Adults,white,male,1,1
787656,Mon,8,201602,2016-02-15,Feb,Weekday,Channel O,08:40:00,00:11:15,787656,Gauteng,Young Adults,black,male,1,1
939566,Sat,15,201601,2016-01-09,Jan,Weekend,Supersport Live Events,15:40:00,00:22:02,939566,Mpumalanga,Young Adults,None,male,1,1
771778,Fri,13,201602,2016-02-05,Feb,Weekday,Supersport Live Events,13:47:00,00:04:12,771778,Eastern Cape,Young Adults,black,male,1,1
808915,Sat,5,201602,2016-02-20,Feb,Weekend,SuperSport Blitz,05:34:00,00:01:14,808915,Kwazulu Natal,Adults,black,male,1,1
808915,Sun,13,201602,2016-02-21,Feb,Weekend,Supersport Live Events,13:45:00,00:00:50,808915,Kwazulu Natal,Adults,black,male,1,1
808916,Fri,11,201602,2016-02-19,Feb,Weekday,E! Entertainment,11:03:00,00:01:42,808916,Western Cape,Adults,None,male,1,1
808916,Fri,20,201602,2016-02-19,Feb,Weekday,Boomerang,20:15:00,00:00:00,808916,Western Cape,Adults,None,male,1,1
831679,Tue,3,201603,2016-03-01,Mar,Weekday,Supersport Live Events,03:17:00,00:00:50,831679,Gauteng,Young Adults,coloured,male,1,1
808917,Sat,18,201602,2016-02-27,Feb,Weekend,Break in transmission,18:13:00,00:00:26,808917,Gauteng,Young Adults,black,male,1,1
808917,Sun,20,201602,2016-02-28,Feb,Weekend,Supersport Live Events,20:20:00,00:00:24,808917,Gauteng,Young Adults,black,male,1,1
939570,Wed,23,201603,2016-03-30,Mar,Weekday,kykNET,23:52:00,00:01:24,939570,Gauteng,Young Adults,None,male,1,1
880213,Wed,19,201603,2016-03-30,Mar,Weekday,Africa Magic,19:13:00,00:00:11,880213,Gauteng,Young Adults,indian_asian,male,1,1
2255459,Wed,8,201603,2016-03-09,Mar,Weekday,SawSee,08:51:00,00:00:15,2255459,Mpumalanga,Young Adults,black,male,1,1
2255459,Tue,2,201603,2016-03-29,Mar,Weekday,Channel O,02:23:00,00:07:54,2255459,Mpumalanga,Young Adults,black,male,1,1
808921,Wed,6,201603,2016-03-02,Mar,Weekday,Trace TV,06:01:00,00:18:27,808921,Mpumalanga,Young Adults,black,male,1,1
808921,Sun,15,201603,2016-03-06,Mar,Weekend,Channel O,15:58:00,00:00:48,808921,Mpumalanga,Young Adults,black,male,1,1
831683,Thu,19,201602,2016-02-25,Feb,Weekday,CNN,19:48:00,00:00:42,831683,Kwazulu Natal,Adults,indian_asian,male,1,1
831683,Thu,15,201602,2016-02-25,Feb,Weekday,Africa Magic,15:59:00,00:00:00,831683,Kwazulu Natal,Adults,indian_asian,male,1,1
831683,Fri,7,201603,2016-03-04,Mar,Weekday,ICC Cricket World Cup 2011,07:21:00,00:00:00,831683,Kwazulu Natal,Adults,indian_asian,male,1,1
761775,Thu,14,201602,2016-02-04,Feb,Weekday,Cartoon Network,14:12:00,00:02:15,761775,Gauteng,Young Adults,None,male,1,1
761775,Mon,15,201601,2016-01-25,Jan,Weekday,SuperSport Blitz,15:59:00,00:01:14,761775,Gauteng,Young Adults,None,male,1,1
866131,Mon,17,201603,2016-03-07,Mar,Weekday,Boomerang,17:16:00,00:00:03,866131,Western Cape,Adults,black,male,1,1
904019,Tue,16,201603,2016-03-29,Mar,Weekday,Africa Magic,16:03:00,00:14:57,904019,Gauteng,Young Adults,black,female,1,1
939575,Thu,21,201603,2016-03-10,Mar,Weekday,Africa Magic,21:30:00,00:01:22,939575,Gauteng,Young Adults,black,male,1,1
808923,Sun,18,201602,2016-02-21,Feb,Weekend,SuperSport Blitz,18:03:00,00:01:12,808923,Eastern Cape,Young Adults,NONE,male,1,1
808923,Wed,18,201602,2016-02-17,Feb,Weekday,Trace TV,18:45:00,00:13:21,808923,Eastern Cape,Young Adults,NONE,male,1,1
932007,Thu,23,201603,2016-03-31,Mar,Weekday,Boomerang,23:24:00,00:00:00,932007,Free State,Adults,white,male,1,1
892461,Sat,8,201603,2016-03-12,Mar,Weekend,SawSee,08:24:00,00:01:18,892461,Kwazulu Natal,Young Adults,indian_asian,male,1,1
892461,Wed,3,201603,2016-03-09,Mar,Weekday,SawSee,03:54:00,00:00:00,892461,Kwazulu Natal,Young Adults,indian_asian,male,1,1
2255463,Thu,13,201603,2016-03-31,Mar,Weekday,Boomerang,13:17:00,00:00:54,2255463,Gauteng,Adults,black,male,1,1
808926,Fri,7,201602,2016-02-19,Feb,Weekday,Supersport Live Events,07:20:00,01:29:08,808926,Western Cape,Young Adults,coloured,male,1,1
808926,Sun,6,201602,2016-02-21,Feb,Weekend,Channel O,06:27:00,00:01:48,808926,Western Cape,Young Adults,coloured,male,1,1
808926,Tue,10,201602,2016-02-02,Feb,Weekday,Trace TV,10:17:00,00:01:06,808926,Western Cape,Young Adults,coloured,male,1,1
808926,Thu,6,201602,2016-02-25,Feb,Weekday,Supersport Live Events,06:38:00,00:03:14,808926,Western Cape,Young Adults,coloured,male,1,1
808926,Thu,12,201602,2016-02-18,Feb,Weekday,Cartoon Network,12:00:00,00:21:11,808926,Western Cape,Young Adults,coloured,male,1,1
771783,Mon,12,201602,2016-02-01,Feb,Weekday,Trace TV,12:51:00,00:04:45,771783,Gauteng,Young Adults,indian_asian,male,1,1
771783,Sat,21,201601,2016-01-30,Jan,Weekend,SawSee,21:43:00,00:00:13,771783,Gauteng,Young Adults,indian_asian,male,1,1
2368357,Wed,12,201603,2016-03-02,Mar,Weekday,SuperSport Blitz,12:32:00,00:03:52,2368357,Gauteng,Adults,black,male,1,1
